age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0.16176470588235292,unemployed,married,primary,no,0.5605292336963024,no,no,cellular,0.6,oct,0.1441089652370785,0.0,0.0,0.0,failure,no
0.20588235294117646,services,married,secondary,no,1.0,yes,yes,cellular,0.3333333333333333,may,0.41541241163332676,0.0,1.0,1.0,failure,no
0.23529411764705876,management,single,tertiary,no,0.48792914369981166,yes,no,cellular,0.5,apr,0.3480675845136907,0.0,1.0,0.44719890627583275,failure,no
0.16176470588235292,management,married,tertiary,no,0.5088618927605847,yes,yes,cellular,0.06666666666666668,jun,0.37500551536154514,0.6118158292550488,0.0,0.0,failure,no
0.5882352941176471,blue-collar,married,secondary,no,0.26364968947724315,yes,no,cellular,0.13333333333333333,may,0.4269572391395501,0.0,0.0,0.0,failure,no
0.23529411764705876,management,single,tertiary,no,0.3877509874803977,no,no,cellular,0.7333333333333333,feb,0.26340551613471963,0.20393860975168293,1.0,1.0,failure,no
0.25,self-employed,married,tertiary,no,0.3146524986967458,yes,no,cellular,0.43333333333333335,may,0.6482330996754972,0.0,1.0,0.8943978125516655,failure,no
0.2941176470588235,technician,married,secondary,no,0.28807123004814505,yes,no,cellular,0.16666666666666669,may,0.28264689531175846,0.20393860975168293,0.0,0.0,failure,no
0.32352941176470584,entrepreneur,married,tertiary,no,0.3003650667981229,yes,no,cellular,0.43333333333333335,may,0.10177793104759296,0.20393860975168293,0.0,0.0,failure,no
0.3529411764705882,services,married,primary,no,0.24902999172051277,yes,yes,cellular,0.5333333333333333,apr,0.5943572379797883,0.0,1.0,0.8943978125516655,failure,no
0.2941176470588235,services,married,secondary,no,1.0,yes,no,cellular,0.6333333333333333,may,0.5173917212716328,0.0,0.0,0.0,success,no
0.3529411764705882,admin.,married,secondary,no,0.3075087827474343,yes,no,cellular,0.5333333333333333,apr,0.2095296544390107,0.20393860975168293,0.0,0.0,failure,no
0.25,technician,married,tertiary,no,0.4478911077978568,no,no,cellular,0.4,aug,0.6232193067453468,0.20393860975168293,0.0,0.0,failure,no
